Accession,Description,Gene,MW [kDa],Control_3,Case_3
Q12899,Tripartite motif-containing protein 26 OS=Homo sapiens OX=9606 GN=TRIM26 PE=1 SV=1,TRIM26,62.1,1140710.064770855,166636.30727675563
O00512,B-cell CLL/lymphoma 9 protein OS=Homo sapiens OX=9606 GN=BCL9 PE=1 SV=4,BCL9,149.2,1041359.6477652413,316676.6250326826
Q96T37,RNA-binding protein 15 OS=Homo sapiens OX=9606 GN=RBM15 PE=1 SV=2,RBM15,107.1,2581640.452334473,2579748.2833109926
P63000,Ras-related C3 botulinum toxin substrate 1 OS=Homo sapiens OX=9606 GN=RAC1 PE=1 SV=1,RAC1,21.4,1617014.9026692829,4009281.637427733
Q9Y3T9,Nucleolar complex protein 2 homolog OS=Homo sapiens OX=9606 GN=NOC2L PE=1 SV=4,NOC2L,84.9,4538268.748159894,7030048.516904148
Q02040,A-kinase anchor protein 17A OS=Homo sapiens OX=9606 GN=AKAP17A PE=1 SV=2,AKAP17A,80.7,14133338.69490302,2752692.1829260234
P80723,Brain acid soluble protein 1 OS=Homo sapiens OX=9606 GN=BASP1 PE=1 SV=2,BASP1,22.7,2866949.0891302787,4510886.951710644
O00299,Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4,CLIC1,26.9,1514040.451719879,2526294.103790968
Q96IZ5,RNA-binding protein 41 OS=Homo sapiens OX=9606 GN=RBM41 PE=1 SV=2,RBM41,47.1,3259386.6957088797,462420.2563051938
Q14008,Cytoskeleton-associated protein 5 OS=Homo sapiens OX=9606 GN=CKAP5 PE=1 SV=3,CKAP5,225.4,2034952.7438830405,267995.54002014344
O76021,Ribosomal L1 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RSL1D1 PE=1 SV=3,RSL1D1,54.9,1727303.7041804062,5596813.538638909
P51003,Poly(A) polymerase alpha OS=Homo sapiens OX=9606 GN=PAPOLA PE=1 SV=4,PAPOLA,82.8,664749.6285821565,1346279.0448277467
O75821,Eukaryotic translation initiation factor 3 subunit G OS=Homo sapiens OX=9606 GN=EIF3G PE=1 SV=2,EIF3G,35.6,6102769.267401819,824161.7765251081
Q15050,Ribosome biogenesis regulatory protein homolog OS=Homo sapiens OX=9606 GN=RRS1 PE=1 SV=2,RRS1,41.2,421351.39893189457,590783.4355137163
P84098,Large ribosomal subunit protein eL19 OS=Homo sapiens OX=9606 GN=RPL19 PE=1 SV=1,RPL19,23.5,16186549.633553326,15142557.152248716
Q15003,Condensin complex subunit 2 OS=Homo sapiens OX=9606 GN=NCAPH PE=1 SV=3,NCAPH,82.5,3408285.8445520476,6189309.10132989
Q9NUD5,Zinc finger CCHC domain-containing protein 3 OS=Homo sapiens OX=9606 GN=ZCCHC3 PE=1 SV=2,ZCCHC3,43.5,869845.8849754705,184755.94933864276
Q14847,LIM and SH3 domain protein 1 OS=Homo sapiens OX=9606 GN=LASP1 PE=1 SV=2,LASP1,29.7,7426848.785701611,9081270.961677162
O75061,Putative tyrosine-protein phosphatase auxilin OS=Homo sapiens OX=9606 GN=DNAJC6 PE=1 SV=3,DNAJC6,99.9,1809187.6595515495,938096.4345897415
Q6NSZ9,Zinc finger and SCAN domain-containing protein 25 OS=Homo sapiens OX=9606 GN=ZSCAN25 PE=1 SV=3,ZSCAN25,61.4,655387.9096632446,907037.6576385435
Q03468,DNA excision repair protein ERCC-6 OS=Homo sapiens OX=9606 GN=ERCC6 PE=1 SV=1,ERCC6,168.3,511264.0251980749,336814.446738368
Q9UM00,Calcium load-activated calcium channel OS=Homo sapiens OX=9606 GN=TMCO1 PE=1 SV=2,TMCO1,27.1,1847402.2903791268,1235267.2325880236
O95861,"3'(2'),5'-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=1",BPNT1,33.4,529715.2953926295,422021.75326654885
O75521,Enoyl-CoA delta isomerase 2 OS=Homo sapiens OX=9606 GN=ECI2 PE=1 SV=4,ECI2,43.6,1096806.8287979662,1903487.5458697213
Q15185,Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1,PTGES3,18.7,8291401.494683604,1794133.62429804
O96028,Histone-lysine N-methyltransferase NSD2 OS=Homo sapiens OX=9606 GN=NSD2 PE=1 SV=1,NSD2,152.2,801921.9419926553,874670.433705329
Q92609,TBC1 domain family member 5 OS=Homo sapiens OX=9606 GN=TBC1D5 PE=1 SV=1,TBC1D5,88.9,664981.7392683091,269676.13738477515
P49321,Nuclear autoantigenic sperm protein OS=Homo sapiens OX=9606 GN=NASP PE=1 SV=2,NASP,85.2,1077803.5350375222,2131039.551759533
P40818,Ubiquitin carboxyl-terminal hydrolase 8 OS=Homo sapiens OX=9606 GN=USP8 PE=1 SV=1,USP8,127.4,1789339.3447088215,1644883.0005793923
Q6P158,Putative ATP-dependent RNA helicase DHX57 OS=Homo sapiens OX=9606 GN=DHX57 PE=1 SV=2,DHX57,155.5,717490.9439626484,724153.536895717
Q9H1H9,Kinesin-like protein KIF13A OS=Homo sapiens OX=9606 GN=KIF13A PE=1 SV=2,KIF13A,202.2,191673.9127104259,200831.78749611363
Q9UDY4,DnaJ homolog subfamily B member 4 OS=Homo sapiens OX=9606 GN=DNAJB4 PE=1 SV=1,DNAJB4,37.8,764434.9391181361,1225030.5668338558
P12956,X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2,XRCC6,69.8,2245007.9276864887,3475746.0597579046
Q9HAD4,WD repeat-containing protein 41 OS=Homo sapiens OX=9606 GN=WDR41 PE=1 SV=3,WDR41,51.7,1759736.6595374725,801361.2551001505
Q9Y4F1,"FERM, ARHGEF and pleckstrin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FARP1 PE=1 SV=1",FARP1,118.6,683084.8083127574,1513314.5452874869
P60660,Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=2,MYL6,16.9,3332392.9872507453,10345995.771835575
Q9NZ63,Splicing factor C9orf78 OS=Homo sapiens OX=9606 GN=C9orf78 PE=1 SV=1,C9orf78,33.7,2274498.800755317,416147.6505794351
P30101,Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4,PDIA3,56.7,1157572.4600846933,3027524.48091459
Q9Y6M5,Proton-coupled zinc antiporter SLC30A1 OS=Homo sapiens OX=9606 GN=SLC30A1 PE=1 SV=3,SLC30A1,55.3,1657131.0927421763,1984089.9001235182
Q9Y6R0,Numb-like protein OS=Homo sapiens OX=9606 GN=NUMBL PE=1 SV=1,NUMBL,64.9,478295.3423622483,432310.2108124958
Q8IYB5,Stromal membrane-associated protein 1 OS=Homo sapiens OX=9606 GN=SMAP1 PE=1 SV=2,SMAP1,50.4,4255927.416827938,4046031.0324703823
P62277,Small ribosomal subunit protein uS15 OS=Homo sapiens OX=9606 GN=RPS13 PE=1 SV=2,RPS13,17.2,1492473.5893313352,4745177.323237178
Q92974,Rho guanine nucleotide exchange factor 2 OS=Homo sapiens OX=9606 GN=ARHGEF2 PE=1 SV=4,ARHGEF2,111.5,459957.3529614527,887084.7390682717
Q13206,Probable ATP-dependent RNA helicase DDX10 OS=Homo sapiens OX=9606 GN=DDX10 PE=1 SV=2,DDX10,100.8,404833.0541190113,537656.3853451859
P60228,Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens OX=9606 GN=EIF3E PE=1 SV=1,EIF3E,52.2,1702481.4429632307,1531927.1349433125
Q3KQU3,MAP7 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=MAP7D1 PE=1 SV=1,MAP7D1,92.8,2149401.389829697,1002614.7613856578
Q9UPQ3,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=AGAP1 PE=1 SV=4",AGAP1,94.4,407018.6199360988,181987.9859213548
Q96DT7,Zinc finger and BTB domain-containing protein 10 OS=Homo sapiens OX=9606 GN=ZBTB10 PE=1 SV=2,ZBTB10,94.8,2387763.6432503494,3347231.911701783
Q9Y4W6,AFG3-like protein 2 OS=Homo sapiens OX=9606 GN=AFG3L2 PE=1 SV=2,AFG3L2,88.5,699390.9719410283,7182013.984253644
Q14690,Protein RRP5 homolog OS=Homo sapiens OX=9606 GN=PDCD11 PE=1 SV=3,PDCD11,208.6,1904853.3154234828,6224121.7167651225
Q9NQT5,Exosome complex component RRP40 OS=Homo sapiens OX=9606 GN=EXOSC3 PE=1 SV=3,EXOSC3,29.6,1496559.0158203936,1623933.7238330054
Q9GZS1,DNA-directed RNA polymerase I subunit RPA49 OS=Homo sapiens OX=9606 GN=POLR1E PE=1 SV=3,POLR1E,47.2,1109355.0074559145,1468428.2050187665
Q13200,26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens OX=9606 GN=PSMD2 PE=1 SV=3,PSMD2,100.1,1551528.910514408,3177637.1542584104
Q9Y2T2,AP-3 complex subunit mu-1 OS=Homo sapiens OX=9606 GN=AP3M1 PE=1 SV=1,AP3M1,46.9,1551315.4905206645,2001669.9336881507
Q8TAD4,Proton-coupled zinc antiporter SLC30A5 OS=Homo sapiens OX=9606 GN=SLC30A5 PE=1 SV=1,SLC30A5,84.0,1212474.3096750835,1465315.808077129
P07737,Profilin-1 OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=2,PFN1,15.0,831538.292378133,5633907.487932696
Q7Z5J4,Retinoic acid-induced protein 1 OS=Homo sapiens OX=9606 GN=RAI1 PE=1 SV=2,RAI1,203.2,938688.4623996706,686256.6739814351
P55072,Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4,VCP,89.3,1369388.0299774017,2810103.5853245277
Q9H0E3,Histone deacetylase complex subunit SAP130 OS=Homo sapiens OX=9606 GN=SAP130 PE=1 SV=1,SAP130,110.3,839747.5356680921,1325382.5357480033
Q9P2M7,Cingulin OS=Homo sapiens OX=9606 GN=CGN PE=1 SV=3,CGN,137.0,1492138.7277290397,1225117.329151708
Q9BV44,tRNA (guanine(6)-N2)-methyltransferase THUMP3 OS=Homo sapiens OX=9606 GN=THUMPD3 PE=1 SV=1,THUMPD3,57.0,1372449.9191569877,2075446.576474568
O43809,Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens OX=9606 GN=NUDT21 PE=1 SV=1,NUDT21,26.2,3619236.3680767207,1046846.3600442408
Q9P275,Ubiquitin carboxyl-terminal hydrolase 36 OS=Homo sapiens OX=9606 GN=USP36 PE=1 SV=4,USP36,122.8,5760357.340561936,923170.277628338
P20585,DNA mismatch repair protein Msh3 OS=Homo sapiens OX=9606 GN=MSH3 PE=1 SV=4,MSH3,127.3,654118.04729068,455403.4142122862
Q15750,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 OS=Homo sapiens OX=9606 GN=TAB1 PE=1 SV=1,TAB1,54.6,663607.0506550259,277810.9095286734
P35250,Replication factor C subunit 2 OS=Homo sapiens OX=9606 GN=RFC2 PE=1 SV=3,RFC2,39.1,390286.1782543795,282498.87152993586
O60508,Pre-mRNA-processing factor 17 OS=Homo sapiens OX=9606 GN=CDC40 PE=1 SV=1,CDC40,65.5,1575479.0117894644,1250612.5730762861
O75362,Zinc finger protein 217 OS=Homo sapiens OX=9606 GN=ZNF217 PE=1 SV=1,ZNF217,115.2,825105.8589768454,104071.8228075382
Q8TCS8,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=PNPT1 PE=1 SV=2",PNPT1,85.9,1011995.79733167,989734.9435912052
O75175,CCR4-NOT transcription complex subunit 3 OS=Homo sapiens OX=9606 GN=CNOT3 PE=1 SV=1,CNOT3,81.8,507673.47102890006,185507.63455903344
Q8WXE1,ATR-interacting protein OS=Homo sapiens OX=9606 GN=ATRIP PE=1 SV=1,ATRIP,85.8,981590.7469800839,3037960.20501999
Q92572,AP-3 complex subunit sigma-1 OS=Homo sapiens OX=9606 GN=AP3S1 PE=1 SV=1,AP3S1,21.7,1962315.0172145788,2829279.3050800124
P13861,cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR2A PE=1 SV=2,PRKAR2A,45.5,852873.752883687,932540.3463816758
O75113,NEDD4-binding protein 1 OS=Homo sapiens OX=9606 GN=N4BP1 PE=1 SV=4,N4BP1,100.3,1343924.423224602,292600.02146528754
Q3YEC7,Rab-like protein 6 OS=Homo sapiens OX=9606 GN=RABL6 PE=1 SV=2,RABL6,79.5,2209012.9618551796,722780.0282358769
O75925,E3 SUMO-protein ligase PIAS1 OS=Homo sapiens OX=9606 GN=PIAS1 PE=1 SV=2,PIAS1,71.8,939509.064893717,381540.55237855954
Q8WXF1,Paraspeckle component 1 OS=Homo sapiens OX=9606 GN=PSPC1 PE=1 SV=1,PSPC1,58.7,2978988.6344534033,615081.6532204492
Q14527,Helicase-like transcription factor OS=Homo sapiens OX=9606 GN=HLTF PE=1 SV=2,HLTF,113.9,1357100.1034068516,1751337.809200446
O95816,BAG family molecular chaperone regulator 2 OS=Homo sapiens OX=9606 GN=BAG2 PE=1 SV=1,BAG2,23.8,2643092.1284553767,3104305.107987592
Q15738,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating OS=Homo sapiens OX=9606 GN=NSDHL PE=1 SV=2",NSDHL,41.9,1891163.542222972,5657171.298404163
Q6P1M0,Long-chain fatty acid transport protein 4 OS=Homo sapiens OX=9606 GN=SLC27A4 PE=1 SV=1,SLC27A4,72.0,893650.2409947909,1992355.0773189007
Q99728,BRCA1-associated RING domain protein 1 OS=Homo sapiens OX=9606 GN=BARD1 PE=1 SV=2,BARD1,86.6,2086078.29456193,1488833.7182543003
P61964,WD repeat-containing protein 5 OS=Homo sapiens OX=9606 GN=WDR5 PE=1 SV=1,WDR5,36.6,1136314.0228561587,1559290.2033585925
Q765P7,Protein MTSS 2 OS=Homo sapiens OX=9606 GN=MTSS2 PE=1 SV=1,MTSS2,79.9,719149.2623964724,785884.8656842043
Q2TAL8,Transcriptional regulator QRICH1 OS=Homo sapiens OX=9606 GN=QRICH1 PE=1 SV=1,QRICH1,86.4,2442092.5116894436,1004103.7250964803
P46782,Small ribosomal subunit protein uS7 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4,RPS5,22.9,5816669.504106555,9204519.007268466
P47755,F-actin-capping protein subunit alpha-2 OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=3,CAPZA2,32.9,1677447.1282737243,2464792.0552928164
O00410,Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4,IPO5,123.6,843811.3660103359,1414830.2197738602
P42336,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform OS=Homo sapiens OX=9606 GN=PIK3CA PE=1 SV=2",PIK3CA,124.2,213223.07417674302,673061.014790107
O00743,Serine/threonine-protein phosphatase 6 catalytic subunit OS=Homo sapiens OX=9606 GN=PPP6C PE=1 SV=1,PPP6C,35.1,921484.7113140187,769430.4283215599
Q96KM6,Zinc finger protein 512B OS=Homo sapiens OX=9606 GN=ZNF512B PE=1 SV=1,ZNF512B,97.2,991966.341774367,406161.8450288441
Q9BW19,Kinesin-like protein KIFC1 OS=Homo sapiens OX=9606 GN=KIFC1 PE=1 SV=2,KIFC1,73.7,685510.3582781566,539843.3510982846
P51153,Ras-related protein Rab-13 OS=Homo sapiens OX=9606 GN=RAB13 PE=1 SV=1,RAB13,22.8,5112548.18419696,7972080.161854806
P62993,Growth factor receptor-bound protein 2 OS=Homo sapiens OX=9606 GN=GRB2 PE=1 SV=1,GRB2,25.2,3024954.711126398,1808147.992197877
Q9UIF8,Bromodomain adjacent to zinc finger domain protein 2B OS=Homo sapiens OX=9606 GN=BAZ2B PE=1 SV=3,BAZ2B,240.3,728100.8205518709,1751244.5879994696
Q9HCJ3,Ribonucleoprotein PTB-binding 2 OS=Homo sapiens OX=9606 GN=RAVER2 PE=1 SV=2,RAVER2,74.3,583404.8744638322,305388.47926340246
P84090,Enhancer of rudimentary homolog OS=Homo sapiens OX=9606 GN=ERH PE=1 SV=1,ERH,12.3,3222988.89979902,3847918.535375118
Q8TC07,TBC1 domain family member 15 OS=Homo sapiens OX=9606 GN=TBC1D15 PE=1 SV=2,TBC1D15,79.4,937683.9542201532,1069244.7807827515
P45973,Chromobox protein homolog 5 OS=Homo sapiens OX=9606 GN=CBX5 PE=1 SV=1,CBX5,22.2,1492936.49526714,2218487.356310443
Q6PJG2,Mitotic deacetylase-associated SANT domain protein OS=Homo sapiens OX=9606 GN=MIDEAS PE=1 SV=2,MIDEAS,114.9,343508.93702494714,503217.0571364838
P60903,Protein S100-A10 OS=Homo sapiens OX=9606 GN=S100A10 PE=1 SV=2,S100A10,11.2,2060575.7994193896,854532.0486079692
Q8IZD2,Inactive histone-lysine N-methyltransferase 2E OS=Homo sapiens OX=9606 GN=KMT2E PE=1 SV=1,KMT2E,204.8,1322164.2555266628,1406448.5613498027
Q04760,Lactoylglutathione lyase OS=Homo sapiens OX=9606 GN=GLO1 PE=1 SV=4,GLO1,20.8,3657076.3293838347,1678367.0579619454
P08754,Guanine nucleotide-binding protein G(i) subunit alpha-3 OS=Homo sapiens OX=9606 GN=GNAI3 PE=1 SV=3,GNAI3,40.5,2323651.094514013,2753289.0561627513
Q13356,RING-type E3 ubiquitin-protein ligase PPIL2 OS=Homo sapiens OX=9606 GN=PPIL2 PE=1 SV=1,PPIL2,58.8,1539951.8815880294,1490721.4526043518
Q9UHR5,SAP30-binding protein OS=Homo sapiens OX=9606 GN=SAP30BP PE=1 SV=1,SAP30BP,33.9,942301.23850584,583794.0990071965
Q92615,La-related protein 4B OS=Homo sapiens OX=9606 GN=LARP4B PE=1 SV=3,LARP4B,80.5,1031402.7257580388,635637.2801555046
Q96QD8,Sodium-coupled neutral amino acid symporter 2 OS=Homo sapiens OX=9606 GN=SLC38A2 PE=1 SV=2,SLC38A2,56.0,919845.3070690964,3011039.3990690866
Q9UMS4,Pre-mRNA-processing factor 19 OS=Homo sapiens OX=9606 GN=PRPF19 PE=1 SV=1,PRPF19,55.1,1732253.1170255626,1771957.763392035
P50613,Cyclin-dependent kinase 7 OS=Homo sapiens OX=9606 GN=CDK7 PE=1 SV=1,CDK7,39.0,1097865.269873994,354972.93264408957
O60828,Polyglutamine-binding protein 1 OS=Homo sapiens OX=9606 GN=PQBP1 PE=1 SV=1,PQBP1,30.5,1271318.4458293403,1058240.6347201795
Q8IYB1,Nucleotidyltransferase MB21D2 OS=Homo sapiens OX=9606 GN=MB21D2 PE=1 SV=3,MB21D2,55.8,2324656.177398797,1199518.4211590467
P62851,Small ribosomal subunit protein eS25 OS=Homo sapiens OX=9606 GN=RPS25 PE=1 SV=1,RPS25,13.7,3547124.8415508135,6602033.22191552
Q9Y5Q9,General transcription factor 3C polypeptide 3 OS=Homo sapiens OX=9606 GN=GTF3C3 PE=1 SV=1,GTF3C3,101.2,1246422.8139063986,2534006.6138749295
Q86UK7,E3 ubiquitin-protein ligase ZNF598 OS=Homo sapiens OX=9606 GN=ZNF598 PE=1 SV=1,ZNF598,98.6,822026.7733385452,299479.7279883153
Q15723,ETS-related transcription factor Elf-2 OS=Homo sapiens OX=9606 GN=ELF2 PE=1 SV=2,ELF2,63.9,846692.1080897326,609763.6986004589
Q8TBN0,Guanine nucleotide exchange factor for Rab-3A OS=Homo sapiens OX=9606 GN=RAB3IL1 PE=1 SV=1,RAB3IL1,42.6,386444.66945190536,267226.8524438657
P51948,CDK-activating kinase assembly factor MAT1 OS=Homo sapiens OX=9606 GN=MNAT1 PE=1 SV=1,MNAT1,35.8,880709.9600899443,454771.55032835423
Q9Y3B9,RRP15-like protein OS=Homo sapiens OX=9606 GN=RRP15 PE=1 SV=2,RRP15,31.5,1457455.0605200534,1761030.7416254575
Q52LW3,Rho GTPase-activating protein 29 OS=Homo sapiens OX=9606 GN=ARHGAP29 PE=1 SV=2,ARHGAP29,142.0,571330.7765663269,492944.5355264689
Q2NKX8,DNA excision repair protein ERCC-6-like OS=Homo sapiens OX=9606 GN=ERCC6L PE=1 SV=1,ERCC6L,141.0,963234.7246051296,285060.3720197002
Q9Y679,Lipid droplet-regulating VLDL assembly factor AUP1 OS=Homo sapiens OX=9606 GN=AUP1 PE=1 SV=2,AUP1,45.8,983489.1389608167,743630.1681687067
Q14141,Septin-6 OS=Homo sapiens OX=9606 GN=SEPTIN6 PE=1 SV=4,SEPTIN6,49.7,1415009.5261434729,851273.632617015
P07948,Tyrosine-protein kinase Lyn OS=Homo sapiens OX=9606 GN=LYN PE=1 SV=3,LYN,58.5,205944.24040053043,324014.5802588472
Q96TA1,Protein Niban 2 OS=Homo sapiens OX=9606 GN=NIBAN2 PE=1 SV=3,NIBAN2,84.1,1233443.9383500593,681277.1769098198
P78362,SRSF protein kinase 2 OS=Homo sapiens OX=9606 GN=SRPK2 PE=1 SV=3,SRPK2,77.5,1848103.9799677965,6142501.494845929
O75940,Survival of motor neuron-related-splicing factor 30 OS=Homo sapiens OX=9606 GN=SMNDC1 PE=1 SV=1,SMNDC1,26.7,1318235.5192358715,2745839.3079314874
Q9Y3L5,Ras-related protein Rap-2c OS=Homo sapiens OX=9606 GN=RAP2C PE=1 SV=1,RAP2C,20.7,1426274.7966192933,1258641.0654050417
O75489,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS3 PE=1 SV=1",NDUFS3,30.2,192007.05019692008,213277.33091528676
P36776,"Lon protease homolog, mitochondrial OS=Homo sapiens OX=9606 GN=LONP1 PE=1 SV=2",LONP1,106.4,1003996.1554382355,3139351.8327846536
P56545,C-terminal-binding protein 2 OS=Homo sapiens OX=9606 GN=CTBP2 PE=1 SV=1,CTBP2,48.9,1181478.4750801492,1415355.2102692781
Q99615,DnaJ homolog subfamily C member 7 OS=Homo sapiens OX=9606 GN=DNAJC7 PE=1 SV=2,DNAJC7,56.4,173445.53876090804,607477.0728843912
Q9BUL5,PHD finger protein 23 OS=Homo sapiens OX=9606 GN=PHF23 PE=1 SV=1,PHF23,43.8,1332797.8355153461,232909.6393805823
Q7Z7F0,KH homology domain-containing protein 4 OS=Homo sapiens OX=9606 GN=KHDC4 PE=1 SV=1,KHDC4,64.8,1783688.2805886797,1089345.9719690375
Q9NTI5,Sister chromatid cohesion protein PDS5 homolog B OS=Homo sapiens OX=9606 GN=PDS5B PE=1 SV=1,PDS5B,164.6,10693214.970369915,1008595.3450992266
P55327,Tumor protein D52 OS=Homo sapiens OX=9606 GN=TPD52 PE=1 SV=2,TPD52,24.3,648909.0656188318,221762.51255950893
P29353,SHC-transforming protein 1 OS=Homo sapiens OX=9606 GN=SHC1 PE=1 SV=4,SHC1,62.8,605215.5012842225,695125.8472939997
P30566,Adenylosuccinate lyase OS=Homo sapiens OX=9606 GN=ADSL PE=1 SV=2,ADSL,54.9,2357748.5878930157,266685.2117123571
P48047,"ATP synthase subunit O, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PO PE=1 SV=1",ATP5PO,23.3,1984103.3710130618,3289397.764336193
Q9Y6M7,Sodium bicarbonate cotransporter 3 OS=Homo sapiens OX=9606 GN=SLC4A7 PE=1 SV=2,SLC4A7,136.0,289036.32841293805,417111.5936131429
Q92979,Ribosomal RNA small subunit methyltransferase NEP1 OS=Homo sapiens OX=9606 GN=EMG1 PE=1 SV=4,EMG1,26.7,641164.7333474983,2980831.1020926055
Q92552,Small ribosomal subunit protein mS27 OS=Homo sapiens OX=9606 GN=MRPS27 PE=1 SV=3,MRPS27,47.6,1009019.1050151242,1871665.4536842834
Q9UPN7,Serine/threonine-protein phosphatase 6 regulatory subunit 1 OS=Homo sapiens OX=9606 GN=PPP6R1 PE=1 SV=5,PPP6R1,96.7,617318.3089026264,1836441.441599978
Q14687,Genetic suppressor element 1 OS=Homo sapiens OX=9606 GN=GSE1 PE=1 SV=3,GSE1,136.1,993461.9611470756,1863720.3634444652
Q6VMQ6,Activating transcription factor 7-interacting protein 1 OS=Homo sapiens OX=9606 GN=ATF7IP PE=1 SV=3,ATF7IP,136.3,448099.4336429731,693887.4117880886
Q9NWH9,SAFB-like transcription modulator OS=Homo sapiens OX=9606 GN=SLTM PE=1 SV=2,SLTM,117.1,430995.5152478301,612010.9271415835
Q02809,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 OS=Homo sapiens OX=9606 GN=PLOD1 PE=1 SV=2",PLOD1,83.5,994410.0396549783,5361266.703072885
Q96L93,Kinesin-like protein KIF16B OS=Homo sapiens OX=9606 GN=KIF16B PE=1 SV=2,KIF16B,151.9,339369.1817313057,217012.61771632874
P14868,"Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=DARS1 PE=1 SV=2",DARS1,57.1,415732.1032417951,1862343.9523114455
P23526,Adenosylhomocysteinase OS=Homo sapiens OX=9606 GN=AHCY PE=1 SV=4,AHCY,47.7,3640403.3888541027,2025826.9614170613
Q9NS69,Mitochondrial import receptor subunit TOM22 homolog OS=Homo sapiens OX=9606 GN=TOMM22 PE=1 SV=3,TOMM22,15.5,652655.198889424,2033243.1476014378
Q86V97,Kelch repeat and BTB domain-containing protein 6 OS=Homo sapiens OX=9606 GN=KBTBD6 PE=1 SV=1,KBTBD6,76.1,1860687.151790897,123391.10683433013
Q0JRZ9,F-BAR domain only protein 2 OS=Homo sapiens OX=9606 GN=FCHO2 PE=1 SV=2,FCHO2,88.9,1455022.0904710945,383030.11972331896
O75616,"GTPase Era, mitochondrial OS=Homo sapiens OX=9606 GN=ERAL1 PE=1 SV=2",ERAL1,48.3,571003.2967339065,1151409.0982114635
P49207,Large ribosomal subunit protein eL34 OS=Homo sapiens OX=9606 GN=RPL34 PE=1 SV=3,RPL34,13.3,15858890.595259488,21960696.15261728
P15407,Fos-related antigen 1 OS=Homo sapiens OX=9606 GN=FOSL1 PE=1 SV=1,FOSL1,29.4,1389232.4112818572,2189749.1494236933
O75663,TIP41-like protein OS=Homo sapiens OX=9606 GN=TIPRL PE=1 SV=2,TIPRL,31.4,1762551.5276220317,959297.8693526693
O95210,Starch-binding domain-containing protein 1 OS=Homo sapiens OX=9606 GN=STBD1 PE=1 SV=1,STBD1,39.0,1660863.9311642563,1037822.8576551626
P53539,Protein FosB OS=Homo sapiens OX=9606 GN=FOSB PE=1 SV=1,FOSB,35.9,1486458.0599020282,1151177.8058080052
Q92922,SWI/SNF complex subunit SMARCC1 OS=Homo sapiens OX=9606 GN=SMARCC1 PE=1 SV=3,SMARCC1,122.8,877547.5741159853,2171072.594691696
O95497,Pantetheinase OS=Homo sapiens OX=9606 GN=VNN1 PE=1 SV=2,VNN1,57.0,2892557.8153486345,5936302.737654154
P35268,Large ribosomal subunit protein eL22 OS=Homo sapiens OX=9606 GN=RPL22 PE=1 SV=2,RPL22,14.8,12039738.089485664,19009575.067807443
O00186,Syntaxin-binding protein 3 OS=Homo sapiens OX=9606 GN=STXBP3 PE=1 SV=2,STXBP3,67.7,3864269.3532448555,3455502.1091455603
Q15287,RNA-binding protein with serine-rich domain 1 OS=Homo sapiens OX=9606 GN=RNPS1 PE=1 SV=1,RNPS1,34.2,2620073.52224846,2676178.3419319647
Q9BQ61,Telomerase RNA component interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1,TRIR,18.4,2781140.5992024075,1255391.6636808773
P62750,Large ribosomal subunit protein uL23 OS=Homo sapiens OX=9606 GN=RPL23A PE=1 SV=1,RPL23A,17.7,2402416.80127571,7052873.002596397
Q8N201,Integrator complex subunit 1 OS=Homo sapiens OX=9606 GN=INTS1 PE=1 SV=2,INTS1,244.1,494439.3624778287,795420.4508630182
